,title,area,construction_year,rooms,total_price,floor,elevator,parking,warehouse,price,token,vacancy_id,vacancy_name
0,آپارتمان ١٢٣م__٢ خ مستر_سالنِ بدون پِرت_,123,1401,2,"2,143,200,000 twmn",8,True,True,True,2143200000,AZtlYbf0,992,آبشار
1,۱۲۰ متر ۳ خواب برج سند دار  ورداورد,120,1402,2,"1,480,000,000 twmn",5,True,True,True,1480000000,AZsVsgTw,992,آبشار
2,واحد ۱۲۵متر  _ ایرانمال _ وام دار _ سوپر  _ فول,125,1402,2,"2,800,000,000 twmn",11,True,True,True,2800000000,AZbFU-10,992,آبشار
3,آپارتمان۱۵۰مترسه‌خواب،چیتگر،الهیه‌،حکیم،,150,1402,3,"2,800,000,000 twmn",17,True,True,True,2800000000,AZaBGto6,992,آبشار
4,۱۳۰متری فول امکانات.شیک خوش نقشه نورگیر.استخر.وام,130,1402,2,"3,800,000,000 twmn",13,True,True,True,3800000000,AZgppai9,992,آبشار
5,آپارتمان ۱۰۵ متر دوخوابه,105,1379,2,"6,000,000,000 twmn",2,False,True,True,6000000000,AZtRkTO-,992,آبشار
6,آپارتمان فروشی ۵۶ متر یک خوابه فول امکانات,56,1392,1,"2,650,000,000 twmn",5,True,True,True,2649999872,AZa50T8q,992,آبشار
7,۱۸۰ متر ۳ خواب برج سند دار چیتگر,180,1402,3,"2,940,000,000 twmn",6,True,True,True,2940000000,AZs9M6SZ,992,آبشار
8,آپارتمان* ۵۴ متری * یک خوابه,54,1382,1,"3,000,000,000 twmn",2,False,True,True,3000000000,AZsd90wN,992,آبشار
9,۴۰متر_تکواحدی_پارکینگ دار_خیابان موسوی,40,1394,1,"2,300,000,000 twmn",3,False,True,True,2300000000,AZrtCrfN,992,آبشار
10,آپارتمان تکواحد 71 متر,71,1392,1,"4,500,000,000 twmn",2,True,True,True,4499999744,AZstIj-m,992,آبشار
11,۸۰ متری ۲خواب.آبشار تهران .خوش نقشه.منطقه۲۲,80,1394,2,"64,000,000,000 twmn",4,True,True,True,64000000000,AZs5Nw2V,992,آبشار
12,آپارتمان ۹۵ متری,95,1396,2,"6,650,000,000 twmn",2,True,True,True,6649999872,AZspIbbq,992,آبشار
13,آپارتمان ۶۵متری دو خواب ابتدای محلاتی محله ابشار,65,1380,2,"2,500,000,000 twmn",4,False,True,True,2500000000,AZjVLvoX,992,آبشار
14,آپارتمان ۱۰۹ متری_منطقه ۲۲ چیتگر_برج مجلل وزرا,109,1401,2,"3,270,000,000 twmn",25,True,True,True,3270000128,AZRZxjtS,992,آبشار
15,۸۰متر ۲خواب_ وام_ استخر سونا جکوزی,80,1402,2,"1,500,000,000 twmn",14,True,True,True,1500000000,AZbhWOZy,992,آبشار
16,82 متر برج فول ویو همیشگی دریاچه,82,1401,2,"7,650,000,000 twmn",8,True,True,True,7649999872,AZsJ607e,992,آبشار
17,۸۷ متر ۲خواب تکواحد باپارکینگ آبشار فروش یا معاوضه,87,1386,2,"4,350,000,000 twmn",4,False,True,True,4350000128,AZlYZeVY,992,آبشار
18,برج١٤٥ متری_منطقه٢٢_استخردار_وامدار_وزراپالاس,145,1402,3,"4,350,000,000 twmn",11,True,True,True,4350000128,AZf1JJOE,992,آبشار
19,آپارتمان ۱۱۵ متری_منطقه۲۲آبشار_وام دار_وزرا پالاس,115,1402,2,"3,450,000,000 twmn",12,True,True,True,3449999872,AZfVnJXu,992,آبشار
20,سهام چیتگر _ ۵۰ و ۲۰ متری _  موجود _ پهنه طبیعت,50,1401,2,"1,410,000,000 twmn",24,True,True,True,1410000000,AZf1_7iI,992,آبشار
21,واحد١٠٧ م٢خوابه جیم وبام با ویو کل منطقه٢٢,107,1401,3,"1,798,900,000 twmn",9,True,True,True,1798899968,AZsxzwxu,992,آبشار
22,آپارتمان نوساز,147,1402,3,"10,500,000,000 twmn",3,True,True,True,10499999744,AZrdYLxj,992,آبشار
23,۱۳۲متر واحد فول مستر_خوش نقشه_اردستانی ایرانمال,132,1402,2,"3,400,000,000 twmn",11,True,True,True,3400000000,AZfJltkQ,992,آبشار
24,فروش ۲۰mچیتگر انتخابی سهام ارتش پژوهش,20,1402,2,"615,000,000 twmn",2,True,True,True,615000000,AZkp_ALb,992,آبشار
